Date,Stock,Open,High,Low,Close,Adj Close,Volume,growth_rate,Continent,Country,Year,Year_ISO
2021-09-01,Nikkei_225,28179.039063,30795.779297,28179.039063,29452.660156,29452.660156,1561500000,26.30%,Asia,Japan,2021,"2021,JPN"
2021-10-01,Nikkei_225,29235.109375,29489.109375,27293.619141,28892.689453,28892.689453,1601900000,23.90%,Asia,Japan,2021,"2021,JPN"
2021-11-01,Nikkei_225,29330.679688,29960.929688,27819.140625,27821.759766,27821.759766,1433700000,19.31%,Asia,Japan,2021,"2021,JPN"
2021-12-01,Nikkei_225,27866.730469,29121.009766,27588.609375,28791.710938,28791.710938,1284100000,23.46%,Asia,Japan,2021,"2021,JPN"
2022-01-01,Nikkei_225,29098.410156,29388.160156,26044.519531,27001.980469,27001.980469,1387900000,15.79%,Asia,Japan,2022,"2022,JPN"
2022-02-01,Nikkei_225,27167.140625,27880.699219,25775.640625,26526.820313,26526.820313,1390900000,13.75%,Asia,Japan,2022,"2022,JPN"
2022-03-01,Nikkei_225,26836.740234,28338.810547,24681.740234,27821.429688,27821.429688,1882500000,19.30%,Asia,Japan,2022,"2022,JPN"
2022-04-01,Nikkei_225,27624.109375,27965.939453,26051.039063,26847.900391,26847.900391,1345900000,15.13%,Asia,Japan,2022,"2022,JPN"
2022-05-01,Nikkei_225,26851.099609,27463.330078,25688.109375,27279.800781,27279.800781,1582900000,16.98%,Asia,Japan,2022,"2022,JPN"
2022-06-01,Nikkei_225,27295.630859,28389.750000,25520.230469,26393.039063,26393.039063,1637700000,13.18%,Asia,Japan,2022,"2022,JPN"
2022-07-01,Nikkei_225,26460.710938,28015.679688,25841.750000,27801.640625,27801.640625,1339300000,19.22%,Asia,Japan,2022,"2022,JPN"
2022-08-01,Nikkei_225,27813.820313,29222.769531,27530.599609,28091.529297,28091.529297,1397800000,20.46%,Asia,Japan,2022,"2022,JPN"
2022-09-01,Nikkei_225,27797.000000,28659.759766,25805.589844,25937.210938,25937.210938,1377200000,11.22%,Asia,Japan,2022,"2022,JPN"
2022-10-01,Nikkei_225,25778.949219,27602.990234,25621.960938,27587.460938,27587.460938,1435500000,18.30%,Asia,Japan,2022,"2022,JPN"
2022-11-01,Nikkei_225,27614.640625,27692.550781,27032.019531,27527.640625,27527.640625,349200000,18.04%,Asia,Japan,2022,"2022,JPN"
2020-01-01,S_P_500,3244.669922,3337.770020,3214.639893,3225.520020,3225.520020,77104420000,-0.59%,North America,United States,2020,"2020,USA"
2020-02-01,S_P_500,3235.659912,3393.520020,2855.840088,2954.219971,2954.219971,84292270000,-8.95%,North America,United States,2020,"2020,USA"
2020-03-01,S_P_500,2974.280029,3136.719971,2191.860107,2584.590088,2584.590088,161801100000,-20.34%,North America,United States,2020,"2020,USA"
2020-04-01,S_P_500,2498.080078,2954.860107,2447.489990,2912.429932,2912.429932,123163450000,-10.24%,North America,United States,2020,"2020,USA"
2020-05-01,S_P_500,2869.090088,3068.669922,2766.639893,3044.310059,3044.310059,106799100000,-6.18%,North America,United States,2020,"2020,USA"
2020-06-01,S_P_500,3038.780029,3233.129883,2965.659912,3100.290039,3100.290039,131044000000,-4.45%,North America,United States,2020,"2020,USA"
2020-07-01,S_P_500,3105.919922,3279.989990,3101.169922,3271.120117,3271.120117,97197020000,0.82%,North America,United States,2020,"2020,USA"
2020-08-01,S_P_500,3288.260010,3514.770020,3284.530029,3500.310059,3500.310059,84402300000,7.88%,North America,United States,2020,"2020,USA"
2020-09-01,S_P_500,3507.439941,3588.110107,3209.449951,3363.000000,3363.000000,92084120000,3.65%,North America,United States,2020,"2020,USA"
2020-10-01,S_P_500,3385.870117,3549.850098,3233.939941,3269.959961,3269.959961,89737600000,0.78%,North America,United States,2020,"2020,USA"
2020-11-01,S_P_500,3296.199951,3645.989990,3279.739990,3621.629883,3621.629883,100977880000,11.62%,North America,United States,2020,"2020,USA"
2020-12-01,S_P_500,3645.870117,3760.199951,3633.399902,3756.070068,3756.070068,96056410000,15.76%,North America,United States,2020,"2020,USA"
2021-01-01,S_P_500,3764.610107,3870.899902,3662.709961,3714.239990,3714.239990,105548790000,14.47%,North America,United States,2021,"2021,USA"
2021-02-01,S_P_500,3731.169922,3950.429932,3725.620117,3811.149902,3811.149902,98596960000,17.46%,North America,United States,2021,"2021,USA"
2021-03-01,S_P_500,3842.510010,3994.409912,3723.340088,3972.889893,3972.889893,120863560000,22.44%,North America,United States,2021,"2021,USA"
2021-04-01,S_P_500,3992.780029,4218.779785,3992.780029,4181.169922,4181.169922,82869290000,28.86%,North America,United States,2021,"2021,USA"
2021-05-01,S_P_500,4191.979980,4238.040039,4056.879883,4204.109863,4204.109863,75155370000,29.57%,North America,United States,2021,"2021,USA"
2021-06-01,S_P_500,4216.520020,4302.430176,4164.399902,4297.500000,4297.500000,85705180000,32.45%,North America,United States,2021,"2021,USA"
2021-07-01,S_P_500,4300.729980,4429.970215,4233.129883,4395.259766,4395.259766,66496430000,35.46%,North America,United States,2021,"2021,USA"
2021-08-01,S_P_500,4406.859863,4537.359863,4367.729980,4522.680176,4522.680176,63217960000,39.39%,North America,United States,2021,"2021,USA"
2021-09-01,S_P_500,4528.799805,4545.850098,4305.910156,4307.540039,4307.540039,66268850000,32.76%,North America,United States,2021,"2021,USA"
2021-10-01,S_P_500,4317.160156,4608.080078,4278.939941,4605.379883,4605.379883,61874700000,41.94%,North America,United States,2021,"2021,USA"
2021-11-01,S_P_500,4610.620117,4743.830078,4560.000000,4567.000000,4567.000000,67520800000,40.75%,North America,United States,2021,"2021,USA"
2021-12-01,S_P_500,4602.819824,4808.930176,4495.120117,4766.180176,4766.180176,68699830000,46.89%,North America,United States,2021,"2021,USA"
2022-01-01,S_P_500,4778.140137,4818.620117,4222.620117,4515.549805,4515.549805,73279440000,39.17%,North America,United States,2022,"2022,USA"
2022-02-01,S_P_500,4519.569824,4595.310059,4114.649902,4373.939941,4373.939941,73167790000,34.80%,North America,United States,2022,"2022,USA"
2022-03-01,S_P_500,4363.140137,4637.299805,4157.870117,4530.410156,4530.410156,100978320000,39.63%,North America,United States,2022,"2022,USA"
2022-04-01,S_P_500,4540.319824,4593.450195,4124.279785,4131.930176,4131.930176,74784850000,27.35%,North America,United States,2022,"2022,USA"
2022-05-01,S_P_500,4130.609863,4307.660156,3810.320068,4132.149902,4132.149902,89128130000,27.35%,North America,United States,2022,"2022,USA"
2022-06-01,S_P_500,4149.779785,4177.509766,3636.870117,3785.379883,3785.379883,86799060000,16.66%,North America,United States,2022,"2022,USA"
2022-07-01,S_P_500,3781.000000,4140.149902,3721.560059,4130.290039,4130.290039,68021140000,27.29%,North America,United States,2022,"2022,USA"
2022-08-01,S_P_500,4112.379883,4325.279785,3954.530029,3955.000000,3955.000000,78088520000,21.89%,North America,United States,2022,"2022,USA"
2022-09-01,S_P_500,3936.729980,4119.279785,3584.129883,3585.620117,3585.620117,94312410000,10.51%,North America,United States,2022,"2022,USA"
2022-10-01,S_P_500,3609.780029,3905.419922,3491.580078,3871.979980,3871.979980,95823760000,19.33%,North America,United States,2022,"2022,USA"
2022-11-01,S_P_500,3901.790039,3911.790039,3698.149902,3806.800049,3806.800049,18347120000,17.32%,North America,United States,2022,"2022,USA"
